name,city,state,mohLink,phone,fax,website,beds,address
Hospital Sultanah Nur Zahirah,Kuala Terengganu,Terengganu,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/128,09-6212121,09-6221820/6221739,http://hsnzkt.moh.gov.my,1060,"Jalan Sultan Mahmud, Kuala Terengganu,
Kuala Terengganu, Terengganu,
20400 Kuala Terengganu,
Terengganu"
Hospital Sungai Bakap,Sungai Jawi,Pulau Pinang,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/65,04-5824333,04-5822494,http://jknpenang.moh.gov.my/hsb/,105,"Sungai Jawi, Seberang Perai Selatan,
Sungai Jawi, Pulau Pinang,
14200 Sungai Jawi,
Pulau Pinang"
Hospital Sungai Buloh,Sungai Buluh,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/115,03-61454333,03-61454222,http://hsgbuloh.moh.gov.my,620,"Jalan Hospital,
Sungai Buluh, Selangor,
47000 Sungai Buluh,
Selangor"
Hospital Sungai Siput,Sungai Siput,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/58,05-5983333,05-5971834,http://hsgsiput.moh.gov.my,93,"Jalan Felda Lasah,
Sungai Siput, Perak,
31100 Sungai Siput,
Perak"
Hospital Taiping,Taiping,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/60,05-8204000,05-8073894,http://htaiping.moh.gov.my,608,"Jalan Taming Sari,
Taiping, Perak,
34000 Taiping,
Perak"
Hospital Tambunan,Tambunan,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/89,087-774333,087-774102,http://htbn.moh.gov.my,49,"Peti Surat 10,
Tambunan, Sabah,
89657 Tambunan,
Sabah"
Hospital Tampin,Tampin,Negeri Sembilan,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/38,06-4411511,06-4419610,http://htampin.moh.gov.my/,85,"Jalan Haji Ahmad Zainuddin, Tampin,
Tampin, Negeri Sembilan,
73009 Tampin,
Negeri Sembilan"
Hospital Tanah Merah,Tanah Merah,Kelantan,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/28,09-9545000,09-9557929,http://hmerah.moh.gov.my/,120,"17500 Tanah Merah,
Tanah Merah, Kelantan,
17500 Tanah Merah,
Kelantan"
Hospital Tangkak,Tangkak,Johor,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/7,06-9782792,06-9786521,,69,"Jalan Hospital,  Tangkak Muar,
Tangkak, Johor,
84900 Tangkak,
Johor"
Hospital Tanjung Karang,Tanjung Karang,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/121,03-32698333,03-32695907,,114,"Tanjung Karang,
Tanjung Karang, Selangor,
45500 Tanjung Karang,
Selangor"
Hospital Tapah,Tapah,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/50,05-4011333,05-4012333,http://htapah.moh.gov.my,100,"Jalan Temoh,
Tapah, Perak,
35000 Tapah,
Perak"
Hospital Tawau,Tawau,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/90,089-773533,089-778626,http://htwu.moh.gov.my,401,"Peti Surat 80,
Tawau, Sabah,
91007 Tawau,
Sabah"
Hospital Teluk Intan,Teluk Intan,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/51,05-6213333,05-6212415,http://htintan.moh.gov.my,548,"Jalan Changkat Jong,
Teluk Intan, Perak,
36000 Teluk Intan,
Perak"
Hospital Temenggong Seri Maharaja Tun Ibrahim,Kulaijaya,Johor,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/6,07-6623333,07-6622605,,93,"Hospital Temenggong Seri Maharaja Tun Ibrahim, 81000 Kulai,
Kulaijaya, Johor,
81000 Kulaijaya,
Johor"
Hospital Tengku Ampuan Afzan,Kuantan,Pahang,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/42,09-5133333,09-5142712,http://htaa.moh.gov.my/,793,"Jalan Air Putih,
Kuantan, Pahang,
25100 Kuantan,
Pahang"
Hospital Tengku Ampuan Jemaah,Sabak Bernam,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/122,03-32163333,03-32164333,http://htaj.moh.gov.my,93,"45200 Sabak Bernam,
Sabak Bernam, Selangor,
45200 Sabak Bernam,
Selangor"
Hospital Tengku Ampuan Rahimah,Klang,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/119,03 3375 7000,03 23372 9089,http://htar.moh.gov.my,1154,"Jalan Langat,41200 Klang,
Klang, Selangor,
41200 Klang,
Selangor"
Hospital Tengku Anis,Pasir Puteh,Kelantan,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/27,09-7843333,09-7843444,,75,"Jalan Pasir Puteh,
Pasir Puteh, Kelantan,
16800 Pasir Puteh,
Kelantan"
Hospital Tenom,Tenom,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/91,087-735577,087-735550,http://htenom.moh.gov.my,70,"Peti surat 97,
Tenom, Sabah,
89907 Tenom,
Sabah"
Hospital Tuanku Ampuan Najihah,Kuala Pilah,Negeri Sembilan,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/35,06-4818001,06-4818010,http://htan.moh.gov.my,314,"KM 3 Jalan Melang,
Kuala Pilah, Negeri Sembilan,
72000 Kuala Pilah,
Negeri Sembilan"
Hospital Tuanku Fauziah,Kangar,Perlis,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/63,04-9738000,04-9767237,http://htf.moh.gov.my,476,"Jalan Kolam, 01000 Kangar,
Kangar, Perlis,
01000 Kangar,
Perlis"
Hospital Tuanku Ja'afar Seremban,Seremban,Negeri Sembilan,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/37,06-7623333,06-7625771,http://htjs.moh.gov.my/,850,"Jalan Rasah,
Seremban, Negeri Sembilan,
70300 Seremban,
Negeri Sembilan"
Hospital Tuaran,Tuaran,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/92,088-788317,088-788167,http://htuaran.moh.gov.my,0,"Peti surat 996, 89207 Tuaran Sabah,
Tuaran, Sabah,
89207 Tuaran,
Sabah"
Hospital Tumpat,Tumpat,Kelantan,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/29,09-7263000,09-7257082,http://htumpat.moh.gov.my/,119,"Jalan Kelaburan,
Tumpat, Kelantan,
62000 Tumpat,
Kelantan"
Hospital Tunku Azizah (Wanita Dan Kanak-Kanak),Kuala Lumpur,WP Kuala Lumpur,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/149,,,,0,"Jalan Raja Muda Abdul Aziz,
Kampung Baru,
50300 Kuala Lumpur,
WP Kuala Lumpur"
Hospital Umum Kuching,Kuching,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/101,082-276666,082-242751,http://hus.moh.gov.my,765,"Jalan Tun Ahmad Zaidi Adruce,
Kuching, Sarawak,
93586 Kuching,
Sarawak"
Hospital Wanita dan Kanak-Kanak Sabah,Kota Kinabalu,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/77,088-522600,088-438512,http://hwkks.moh.gov.my,504,"Karung Berkunci 187,
Kota Kinabalu, Sabah,
88996 Kota Kinabalu,
Sabah"
Hospital Yan,Yan,Kedah,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/20,04-4655333,04-4655960,http://hyan.moh.gov.my/,89,"Batu 25 Jalan Yan,
Yan, Kedah,
06900 Yan,
Kedah"
Institut Kanser Negara,Putrajaya  ,WP Putrajaya,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/142,03-88925555,03-88925588,,252,"No 4, Jalan P7, Presint 7
62250 Putrajaya
WP Putrajaya,
62250 Putrajaya,
WP Putrajaya"
Institut Perubatan Respiratori,Kuala Lumpur,WP Kuala Lumpur,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/138,03-40232966,03-40218807,,118,"Jalan Pahang,
Kuala Lumpur, WP Kuala Lumpur,
53000 Kuala Lumpur,
WP Kuala Lumpur"
Pusat Jantung Sarawak,Samarahan,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/146,082-668111,082-668001,,112,"Jalan Expressway Kota Samarahan
94300 Samarahan
Sarawak,
94300 Samarahan,
Sarawak"
Pusat Kawalan Kusta Negara,Sungai Buluh,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/3/137,03-61561321,03-61562470,,110,"Sungai Buluh,
Sungai Buluh, Selangor,
47000 Sungai Buluh,
Selangor"
